ProjectName,Category,Participants,Status,StartDate,ExpirationDate
Teaching the Future,Education,51,Completed,2018-01-15,2022-05-30
Health is important,Health,37,Completed,2019-03-10,2022-08-20
Green City,Ecology,42,In progress,2020-02-20,-
Volunteer Support,Social Assistance,25,Completed,2018-04-05,2022-09-10
Art for All,Culture and Art,66,Expectation,2019-03-25,-
Sport for Equality,Health,35,Completed,2019-02-10,2022-06-30
Youth in Action,Youth,73,Expectation,2019-01-20,-
Family Happiness,Family and Children,47,Completed,2020-03-01,2022-08-25
Technologies for Education,Education,58,In progress,2018-02-15,-
Caring for Payment,Social assistance,22,Completed,2019-04-20,2022-09-05
River Cleanup,Ecology,49,Completed,2019-03-15,2022-07-20
Healthy Lifestyle,Health,31,In progress,2019-01-30,-
Creative Workshops,Culture and Art,51,Completed,2021-02-05,2022-07-15
Volunteers in an orphanage,Family and children,35,Completed,2021-03-05,2022-08-15
Sport for All,Health,40,Completed,2022-02-25,2022-07-10
Social support for the homeless,Social assistance,25,In progress,2022-01-10,-
Ecological excursions,Ecology,32,Completed,2022-02-01,2022-06-20
Education for All,Education,65,Expectation,2022-03-20,-
Family Master Classes,Family and Children,43,Completed,2018-04-15,2022-09-30
Caring for Payment,Social assistance,27,In progress,2021-02-10,-
